7.5	5.20E-06
7.5	0.008
7.5	0.004
7.5	0.008
23	0.039
23	0.032
23	0.04
23	0.038
23	0.037
23	0.021
23	0.026
100	0.14
100	0.017
100	0.144
100	0.021
100	0.033
8.5	0.016
8.5	0.018
9.5	0.018
10.5	0.017
10.5	0.025
10.5	0.008
12.5	0.017
13.5	0.014
13.5	0.015
13.5	0.02
13.5	0.021
14.5	0.004
16.5	0.015
25	0.002
25	0.002
29	0.013
29	0.027
32	0.016
32	0.023
35	0.026
35	0.029
50	0.039
51.1	0.043
65	0.026
